GKZ;Gebietsname;Wahlberechtigte;Wahlbeteiligung in %;Stimmen;Ungültig;Gültig;ÖVP;%;SPÖ;%;FPÖ;%;GRÜNE;%;BZÖ;%;NEOS;%;REKOS;%;ANDERS;%;EUSTOP;%;;;;abgegeben;ungültig;gültig
G41801;Aichkirchen;429;54,08%;232;11;221;101;45,70%;12;5,43%;64;28,96%;10;4,52%;1;0,45%;20;9,05%;5;2,26%;1;0,45%;7;3,17%;;;;;;
G41802;Bachmanning;503;46,52%;234;5;229;68;29,69%;54;23,58%;50;21,83%;25;10,92%;0;0,00%;16;6,99%;12;5,24%;2;0,87%;2;0,87%;;;;;;
G41803;Bad Wimsbach-Neydharting;1959;50,74%;994;54;940;342;36,38%;198;21,06%;193;20,53%;85;9,04%;1;0,11%;71;7,55%;12;1,28%;13;1,38%;25;2,66%;;;;;;
G41804;Buchkirchen;3247;41,85%;1359;54;1305;330;25,29%;330;25,29%;304;23,30%;160;12,26%;5;0,38%;106;8,12%;8;0,61%;19;1,46%;43;3,30%;;;;;;
G41805;Eberstalzell;1875;42,35%;794;21;773;325;42,04%;65;8,41%;185;23,93%;78;10,09%;2;0,26%;55;7,12%;24;3,10%;17;2,20%;22;2,85%;;;;;;
G41806;Edt bei Lambach;1622;45,75%;742;25;717;205;28,59%;161;22,45%;199;27,75%;61;8,51%;5;0,70%;51;7,11%;9;1,26%;6;0,84%;20;2,79%;;;;;;
G41807;Fischlham;1091;50,23%;548;28;520;190;36,54%;84;16,15%;133;25,58%;52;10,00%;2;0,38%;33;6,35%;3;0,58%;10;1,92%;13;2,50%;;;;;;
G41808;Gunskirchen;4496;44,19%;1987;60;1927;495;25,69%;471;24,44%;507;26,31%;193;10,02%;5;0,26%;142;7,37%;26;1,35%;44;2,28%;44;2,28%;;;;;;
G41809;Holzhausen;626;44,89%;281;7;274;80;29,20%;55;20,07%;66;24,09%;31;11,31%;2;0,73%;33;12,04%;1;0,36%;4;1,46%;2;0,73%;;;;;;
G41810;Krenglbach;2411;46,99%;1133;28;1105;281;25,43%;269;24,34%;260;23,53%;149;13,48%;8;0,72%;89;8,05%;8;0,72%;13;1,18%;28;2,53%;;;;;;
G41811;Lambach;2438;40,16%;979;24;955;240;25,13%;225;23,56%;246;25,76%;111;11,62%;12;1,26%;67;7,02%;13;1,36%;16;1,68%;25;2,62%;;;;;;
G41812;Marchtrenk;9388;39,53%;3711;148;3563;574;16,11%;1119;31,41%;1017;28,54%;365;10,24%;25;0,70%;260;7,30%;27;0,76%;59;1,66%;117;3,28%;;;;;;
G41813;Neukirchen bei Lambach;724;50,41%;365;10;355;142;40,00%;38;10,70%;75;21,13%;41;11,55%;3;0,85%;42;11,83%;4;1,13%;6;1,69%;4;1,13%;;;;;;
G41814;Offenhausen;1272;49,84%;634;23;611;211;34,53%;71;11,62%;187;30,61%;59;9,66%;1;0,16%;41;6,71%;6;0,98%;10;1,64%;25;4,09%;;;;;;
G41815;Pennewang;740;49,59%;367;15;352;168;47,73%;42;11,93%;67;19,03%;35;9,94%;2;0,57%;24;6,82%;6;1,70%;1;0,28%;7;1,99%;;;;;;
G41816;Pichl bei Wels;2166;53,83%;1166;37;1129;364;32,24%;220;19,49%;282;24,98%;125;11,07%;7;0,62%;89;7,88%;11;0,97%;15;1,33%;16;1,42%;;;;;;
G41817;Sattledt;1848;47,35%;875;26;849;275;32,39%;169;19,91%;254;29,92%;62;7,30%;4;0,47%;47;5,54%;16;1,88%;9;1,06%;13;1,53%;;;;;;
G41818;Schleißheim;971;49,33%;479;14;465;129;27,74%;88;18,92%;126;27,10%;53;11,40%;4;0,86%;41;8,82%;3;0,65%;10;2,15%;11;2,37%;;;;;;
G41819;Sipbachzell;1484;45,22%;671;34;637;230;36,11%;96;15,07%;155;24,33%;60;9,42%;1;0,16%;64;10,05%;5;0,78%;2;0,31%;24;3,77%;;;;;;
G41820;Stadl-Paura;3609;35,38%;1277;44;1233;185;15,00%;374;30,33%;376;30,49%;153;12,41%;11;0,89%;73;5,92%;7;0,57%;12;0,97%;42;3,41%;;;;;;
G41821;Steinerkirchen an der Traun;1876;48,72%;914;43;871;371;42,59%;107;12,28%;179;20,55%;108;12,40%;10;1,15%;64;7,35%;9;1,03%;9;1,03%;14;1,61%;;;;;;
G41822;Steinhaus;1555;54,21%;843;24;819;245;29,91%;112;13,68%;323;39,44%;65;7,94%;0;0,00%;46;5,62%;4;0,49%;12;1,47%;12;1,47%;;;;;;
G41823;Thalheim bei Wels;4247;43,18%;1834;45;1789;457;25,54%;363;20,29%;368;20,57%;326;18,22%;20;1,12%;174;9,73%;15;0,84%;34;1,90%;32;1,79%;;;;;;
G41824;Weißkirchen an der Traun;2516;45,35%;1141;38;1103;261;23,66%;286;25,93%;281;25,48%;130;11,79%;3;0,27%;92;8,34%;8;0,73%;18;1,63%;24;2,18%;;;;;;
G41899;Wahlkarten - Wels-Land;0;;3053;77;2976;777;26,11%;649;21,81%;529;17,78%;466;15,66%;11;0,37%;346;11,63%;32;1,08%;67;2,25%;99;3,33%;;;;;;
G50000;Salzburg;395257;40,50%;160066;4312;155754;50214;32,24%;33306;21,38%;28960;18,59%;21939;14,09%;654;0,42%;11030;7,08%;2353;1,51%;2328;1,49%;4970;3,19%;;;;;;
G5A000;Salzburg Stadt;100753;39,32%;39619;713;38906;9916;25,49%;8905;22,89%;6452;16,58%;7912;20,34%;166;0,43%;2917;7,50%;580;1,49%;826;2,12%;1232;3,17%;;;;;;
G5A099;Wahlkarten - Salzburg Stadt;0;;6563;79;6484;1790;27,61%;1367;21,08%;725;11,18%;1532;23,63%;17;0,26%;646;9,96%;87;1,34%;130;2,00%;190;2,93%;;;;;;
G5B000;Flachgau/Tennengau;155121;41,76%;64782;1960;62822;21488;34,20%;11458;18,24%;11207;17,84%;9354;14,89%;307;0,49%;4851;7,72%;1036;1,65%;984;1,57%;2137;3,40%;;;;;;
G5B099;Wahlkarten - Flachgau/Tennengau;0;;7759;121;7638;2153;28,19%;1403;18,37%;1036;13,56%;1556;20,37%;43;0,56%;894;11,70%;101;1,32%;165;2,16%;287;3,76%;;;;;;
G5C000;Lungau/Pinzgau/Pongau;139383;39,94%;55665;1639;54026;18810;34,82%;12943;23,96%;11301;20,92%;4673;8,65%;181;0,34%;3262;6,04%;737;1,36%;518;0,96%;1601;2,96%;;;;;;
G5C099;Wahlkarten - Lungau/Pinzgau/Pongau;0;;7573;118;7455;2371;31,80%;1797;24,10%;1108;14,86%;999;13,40%;27;0,36%;708;9,50%;81;1,09%;85;1,14%;279;3,74%;;;;;;
G50099;Wahlkarten - Salzburg;0;;21895;318;21577;6314;29,26%;4567;21,17%;2869;13,30%;4087;18,94%;87;0,40%;2248;10,42%;269;1,25%;380;1,76%;756;3,50%;;;;;;
G50100;Salzburg(Stadt);100753;39,32%;39619;713;38906;9916;25,49%;8905;22,89%;6452;16,58%;7912;20,34%;166;0,43%;2917;7,50%;580;1,49%;826;2,12%;1232;3,17%;;;;;;
G50101;Salzburg;100753;32,81%;33056;634;32422;8126;25,06%;7538;23,25%;5727;17,66%;6380;19,68%;149;0,46%;2271;7,00%;493;1,52%;696;2,15%;1042;3,21%;;;;;;
G50199;Wahlkarten - Salzburg(Stadt);0;;6563;79;6484;1790;27,61%;1367;21,08%;725;11,18%;1532;23,63%;17;0,26%;646;9,96%;87;1,34%;130;2,00%;190;2,93%;;;;;;
G50200;Hallein;43063;41,42%;17837;635;17202;5695;33,11%;3622;21,06%;2924;17,00%;2464;14,32%;75;0,44%;1302;7,57%;241;1,40%;240;1,40%;639;3,71%;;;;;;
G50201;Abtenau;4433;34,31%;1521;56;1465;641;43,75%;341;23,28%;210;14,33%;112;7,65%;3;0,20%;78;5,32%;25;1,71%;8;0,55%;47;3,21%;;;;;;
G50202;Adnet;2781;43,73%;1216;58;1158;478;41,28%;189;16,32%;176;15,20%;173;14,94%;5;0,43%;85;7,34%;12;1,04%;7;0,60%;33;2,85%;;;;;;
G50203;Annaberg-Lungötz;1695;41,59%;705;22;683;294;43,05%;148;21,67%;118;17,28%;42;6,15%;3;0,44%;38;5,56%;27;3,95%;3;0,44%;10;1,46%;;;;;;
G50204;Golling an der Salzach;3047;33,31%;1015;35;980;291;29,69%;216;22,04%;206;21,02%;126;12,86%;2;0,20%;80;8,16%;4;0,41%;16;1,63%;39;3,98%;;;;;;
G50205;Hallein;13921;34,36%;4783;148;4635;1012;21,83%;1218;26,28%;936;20,19%;689;14,87%;19;0,41%;385;8,31%;58;1,25%;89;1,92%;229;4,94%;;;;;;
G50206;Krispl;707;48,94%;346;15;331;183;55,29%;44;13,29%;52;15,71%;19;5,74%;1;0,30%;22;6,65%;1;0,30%;2;0,60%;7;2,11%;;;;;;
G50207;Kuchl;5309;36,99%;1964;73;1891;722;38,18%;308;16,29%;270;14,28%;318;16,82%;14;0,74%;141;7,46%;28;1,48%;34;1,80%;56;2,96%;;;;;;
G50208;Oberalm;3186;39,77%;1267;40;1227;345;28,12%;258;21,03%;216;17,60%;236;19,23%;5;0,41%;93;7,58%;19;1,55%;15;1,22%;40;3,26%;;;;;;
G50209;Puch bei Hallein;3391;33,80%;1146;41;1105;367;33,21%;215;19,46%;190;17,19%;173;15,66%;10;0,90%;75;6,79%;17;1,54%;22;1,99%;36;3,26%;;;;;;
G50210;Rußbach am Paß Gschütt;634;37,22%;236;11;225;97;43,11%;74;32,89%;22;9,78%;12;5,33%;0;0,00%;7;3,11%;8;3,56%;2;0,89%;3;1,33%;;;;;;
G50211;Sankt Koloman;1282;44,31%;568;37;531;312;58,76%;39;7,34%;86;16,20%;35;6,59%;2;0,38%;33;6,21%;10;1,88%;3;0,56%;11;2,07%;;;;;;
G50212;Scheffau am Tennengebirge;1078;40,45%;436;16;420;184;43,81%;72;17,14%;77;18,33%;42;10,00%;0;0,00%;23;5,48%;4;0,95%;0;0,00%;18;4,29%;;;;;;
G50213;Bad Vigaun;1599;39,52%;632;43;589;235;39,90%;115;19,52%;98;16,64%;76;12,90%;0;0,00%;36;6,11%;3;0,51%;2;0,34%;24;4,07%;;;;;;
G50299;Wahlkarten - Hallein;0;;2002;40;1962;534;27,22%;385;19,62%;267;13,61%;411;20,95%;11;0,56%;206;10,50%;25;1,27%;37;1,89%;86;4,38%;;;;;;
G50300;Salzburg-Umgebung;112058;41,89%;46945;1325;45620;15793;34,62%;7836;17,18%;8283;18,16%;6890;15,10%;232;0,51%;3549;7,78%;795;1,74%;744;1,63%;1498;3,28%;;;;;;
G50301;Anif;3113;35,53%;1106;15;1091;376;34,46%;187;17,14%;197;18,06%;169;15,49%;5;0,46%;95;8,71%;10;0,92%;16;1,47%;36;3,30%;;;;;;
G50302;Anthering;2830;39,86%;1128;33;1095;436;39,82%;124;11,32%;186;16,99%;194;17,72%;6;0,55%;71;6,48%;17;1,55%;25;2,28%;36;3,29%;;;;;;
G50303;Bergheim;3854;44,53%;1716;63;1653;690;41,74%;254;15,37%;263;15,91%;240;14,52%;7;0,42%;117;7,08%;13;0,79%;24;1,45%;45;2,72%;;;;;;
G50304;Berndorf bei Salzburg;1351;32,64%;441;9;432;151;34,95%;73;16,90%;107;24,77%;46;10,65%;2;0,46%;38;8,80%;3;0,69%;6;1,39%;6;1,39%;;;;;;
G50305;Bürmoos;3628;32,72%;1187;40;1147;129;11,25%;447;38,97%;245;21,36%;161;14,04%;6;0,52%;62;5,41%;18;1,57%;24;2,09%;55;4,80%;;;;;;
G50306;Dorfbeuern;1183;36,09%;427;22;405;188;46,42%;63;15,56%;56;13,83%;39;9,63%;1;0,25%;28;6,91%;19;4,69%;1;0,25%;10;2,47%;;;;;;
G50307;Ebenau;1096;42,79%;469;7;462;213;46,10%;73;15,80%;69;14,94%;55;11,90%;5;1,08%;19;4,11%;12;2,60%;9;1,95%;7;1,52%;;;;;;
G50308;Elixhausen;2252;44,14%;994;36;958;387;40,40%;163;17,01%;149;15,55%;131;13,67%;5;0,52%;73;7,62%;12;1,25%;15;1,57%;23;2,40%;;;;;;
G50309;Elsbethen;4159;38,01%;1581;33;1548;551;35,59%;223;14,41%;243;15,70%;268;17,31%;8;0,52%;144;9,30%;32;2,07%;25;1,61%;54;3,49%;;;;;;
G50310;Eugendorf;5165;39,05%;2017;67;1950;709;36,36%;316;16,21%;372;19,08%;264;13,54%;9;0,46%;144;7,38%;39;2,00%;22;1,13%;75;3,85%;;;;;;
G50311;Faistenau;2337;39,15%;915;28;887;338;38,11%;98;11,05%;238;26,83%;86;9,70%;6;0,68%;49;5,52%;20;2,25%;16;1,80%;36;4,06%;;;;;;
G50312;Fuschl am See;1068;37,55%;401;18;383;170;44,39%;37;9,66%;75;19,58%;50;13,05%;0;0,00%;33;8,62%;6;1,57%;2;0,52%;10;2,61%;;;;;;
G50313;Göming;578;53,46%;309;8;301;202;67,11%;28;9,30%;25;8,31%;25;8,31%;1;0,33%;14;4,65%;0;0,00%;4;1,33%;2;0,66%;;;;;;
G50314;Grödig;5142;34,48%;1773;62;1711;412;24,08%;509;29,75%;339;19,81%;201;11,75%;8;0,47%;112;6,55%;26;1,52%;30;1,75%;74;4,32%;;;;;;
G50315;Großgmain;1855;37,25%;691;10;681;226;33,19%;90;13,22%;148;21,73%;129;18,94%;2;0,29%;48;7,05%;12;1,76%;9;1,32%;17;2,50%;;;;;;
G50316;Hallwang;3128;34,85%;1090;34;1056;364;34,47%;193;18,28%;195;18,47%;168;15,91%;6;0,57%;71;6,72%;11;1,04%;22;2,08%;26;2,46%;;;;;;
G50317;Henndorf am Wallersee;3754;36,01%;1352;30;1322;447;33,81%;252;19,06%;237;17,93%;175;13,24%;10;0,76%;126;9,53%;20;1,51%;20;1,51%;35;2,65%;;;;;;
G50318;Hintersee;361;31,86%;115;7;108;37;34,26%;26;24,07%;28;25,93%;10;9,26%;1;0,93%;3;2,78%;2;1,85%;1;0,93%;0;0,00%;;;;;;
G50319;Hof bei Salzburg;2602;35,55%;925;29;896;348;38,84%;141;15,74%;160;17,86%;125;13,95%;2;0,22%;64;7,14%;11;1,23%;9;1,00%;36;4,02%;;;;;;
G50320;Köstendorf;2029;36,18%;734;30;704;328;46,59%;100;14,20%;101;14,35%;72;10,23%;0;0,00%;45;6,39%;23;3,27%;13;1,85%;22;3,13%;;;;;;
G50321;Koppl;2592;37,15%;963;28;935;333;35,61%;123;13,16%;155;16,58%;176;18,82%;4;0,43%;60;6,42%;30;3,21%;20;2,14%;34;3,64%;;;;;;
G50322;Lamprechtshausen;2855;37,51%;1071;36;1035;393;37,97%;180;17,39%;192;18,55%;129;12,46%;6;0,58%;70;6,76%;18;1,74%;12;1,16%;35;3,38%;;;;;;
G50323;Mattsee;2437;39,56%;964;32;932;427;45,82%;111;11,91%;131;14,06%;147;15,77%;5;0,54%;68;7,30%;10;1,07%;13;1,39%;20;2,15%;;;;;;
G50324;Neumarkt am Wallersee;4413;31,48%;1389;38;1351;347;25,68%;249;18,43%;309;22,87%;219;16,21%;5;0,37%;87;6,44%;39;2,89%;20;1,48%;76;5,63%;;;;;;
G50325;Nußdorf am Haunsberg;1790;36,93%;661;16;645;257;39,84%;104;16,12%;85;13,18%;91;14,11%;10;1,55%;47;7,29%;13;2,02%;13;2,02%;25;3,88%;;;;;;
G50326;Oberndorf bei Salzburg;4120;36,46%;1502;57;1445;342;23,67%;350;24,22%;265;18,34%;270;18,69%;6;0,42%;103;7,13%;26;1,80%;22;1,52%;61;4,22%;;;;;;
G50327;Obertrum am See;3617;37,43%;1354;37;1317;540;41,00%;145;11,01%;242;18,38%;198;15,03%;5;0,38%;122;9,26%;16;1,21%;16;1,21%;33;2,51%;;;;;;
G50328;Plainfeld;969;36,33%;352;12;340;119;35,00%;38;11,18%;80;23,53%;45;13,24%;3;0,88%;31;9,12%;11;3,24%;5;1,47%;8;2,35%;;;;;;
G50329;Sankt Georgen bei Salzburg;2325;42,06%;978;33;945;367;38,84%;146;15,45%;195;20,63%;107;11,32%;6;0,63%;59;6,24%;25;2,65%;17;1,80%;23;2,43%;;;;;;
G50330;Sankt Gilgen;2875;33,84%;973;21;952;385;40,44%;156;16,39%;182;19,12%;92;9,66%;3;0,32%;68;7,14%;20;2,10%;11;1,16%;35;3,68%;;;;;;
G50331;Schleedorf;814;40,91%;333;7;326;146;44,79%;45;13,80%;75;23,01%;17;5,21%;2;0,61%;20;6,13%;8;2,45%;5;1,53%;8;2,45%;;;;;;
G50332;Seeham;1445;35,64%;515;19;496;210;42,34%;81;16,33%;75;15,12%;62;12,50%;1;0,20%;47;9,48%;9;1,81%;4;0,81%;7;1,41%;;;;;;
G50335;Straßwalchen;5410;36,30%;1964;75;1889;698;36,95%;346;18,32%;421;22,29%;171;9,05%;10;0,53%;122;6,46%;39;2,06%;25;1,32%;57;3,02%;;;;;;
G50336;Strobl;2831;35,22%;997;45;952;345;36,24%;188;19,75%;129;13,55%;156;16,39%;5;0,53%;72;7,56%;24;2,52%;12;1,26%;21;2,21%;;;;;;
G50337;Thalgau;4465;32,36%;1445;40;1405;570;40,57%;182;12,95%;228;16,23%;220;15,66%;4;0,28%;93;6,62%;41;2,92%;17;1,21%;50;3,56%;;;;;;
G50338;Wals-Siezenheim;9797;36,93%;3618;103;3515;1195;34,00%;543;15,45%;803;22,84%;494;14,05%;14;0,40%;242;6,88%;44;1,25%;61;1,74%;119;3,39%;;;;;;
G50339;Seekirchen am Wallersee;7818;35,02%;2738;64;2674;798;29,84%;434;16,23%;514;19,22%;543;20,31%;21;0,79%;194;7,26%;40;1,50%;50;1,87%;80;2,99%;;;;;;
G50399;Wahlkarten - Salzburg-Umgebung;0;;5757;81;5676;1619;28,52%;1018;17,94%;769;13,55%;1145;20,17%;32;0,56%;688;12,12%;76;1,34%;128;2,26%;201;3,54%;;;;;;
G50400;Sankt Johann im Pongau;58423;42,27%;24696;755;23941;8256;34,48%;5849;24,43%;5052;21,10%;1940;8,10%;78;0,33%;1490;6,22%;357;1,49%;228;0,95%;691;2,89%;;;;;;
G50401;Altenmarkt im Pongau;2854;37,88%;1081;36;1045;428;40,96%;119;11,39%;233;22,30%;108;10,33%;6;0,57%;76;7,27%;35;3,35%;12;1,15%;28;2,68%;;;;;;
G50402;Bad Hofgastein;5084;30,19%;1535;47;1488;479;32,19%;422;28,36%;308;20,70%;113;7,59%;10;0,67%;86;5,78%;13;0,87%;10;0,67%;47;3,16%;;;;;;
G50403;Bad Gastein;2909;30,66%;892;25;867;201;23,18%;230;26,53%;276;31,83%;68;7,84%;4;0,46%;34;3,92%;18;2,08%;5;0,58%;31;3,58%;;;;;;
G50404;Bischofshofen;7450;35,33%;2632;106;2526;519;20,55%;1009;39,94%;566;22,41%;183;7,24%;5;0,20%;124;4,91%;24;0,95%;17;0,67%;79;3,13%;;;;;;
G50405;Dorfgastein;1313;39,98%;525;17;508;178;35,04%;154;30,31%;101;19,88%;23;4,53%;2;0,39%;29;5,71%;5;0,98%;5;0,98%;11;2,17%;;;;;;
G50406;Eben im Pongau;1634;45,78%;748;26;722;330;45,71%;106;14,68%;183;25,35%;34;4,71%;1;0,14%;36;4,99%;7;0,97%;4;0,55%;21;2,91%;;;;;;
G50407;Filzmoos;1014;32,45%;329;12;317;178;56,15%;32;10,09%;60;18,93%;13;4,10%;1;0,32%;23;7,26%;2;0,63%;2;0,63%;6;1,89%;;;;;;
G50408;Flachau;2037;44,08%;898;23;875;410;46,86%;110;12,57%;180;20,57%;55;6,29%;5;0,57%;62;7,09%;18;2,06%;8;0,91%;27;3,09%;;;;;;
G50409;Forstau;415;47,71%;198;2;196;79;40,31%;49;25,00%;39;19,90%;11;5,61%;0;0,00%;9;4,59%;1;0,51%;2;1,02%;6;3,06%;;;;;;
G50410;Goldegg;1916;41,28%;791;27;764;263;34,42%;125;16,36%;173;22,64%;86;11,26%;1;0,13%;69;9,03%;14;1,83%;9;1,18%;24;3,14%;;;;;;
G50411;Großarl;2902;39,83%;1156;38;1118;608;54,38%;219;19,59%;130;11,63%;60;5,37%;2;0,18%;51;4,56%;24;2,15%;8;0,72%;16;1,43%;;;;;;
G50412;Hüttau;1148;39,81%;457;15;442;158;35,75%;94;21,27%;127;28,73%;21;4,75%;1;0,23%;20;4,52%;0;0,00%;6;1,36%;15;3,39%;;;;;;
G50413;Hüttschlag;697;41,89%;292;10;282;167;59,22%;58;20,57%;33;11,70%;14;4,96%;0;0,00%;3;1,06%;2;0,71%;0;0,00%;5;1,77%;;;;;;
G50414;Kleinarl;580;45,17%;262;10;252;151;59,92%;27;10,71%;48;19,05%;7;2,78%;5;1,98%;10;3,97%;4;1,59%;0;0,00%;0;0,00%;;;;;;
G50415;Mühlbach am Hochkönig;1175;38,55%;453;16;437;88;20,14%;192;43,94%;97;22,20%;23;5,26%;1;0,23%;15;3,43%;3;0,69%;7;1,60%;11;2,52%;;;;;;
G50416;Pfarrwerfen;1748;37,01%;647;17;630;318;50,48%;112;17,78%;106;16,83%;32;5,08%;0;0,00%;25;3,97%;17;2,70%;5;0,79%;15;2,38%;;;;;;
G50417;Radstadt;3405;33,92%;1155;39;1116;430;38,53%;210;18,82%;286;25,63%;57;5,11%;4;0,36%;66;5,91%;19;1,70%;10;0,90%;34;3,05%;;;;;;
G50418;Sankt Johann im Pongau;7902;39,32%;3107;90;3017;953;31,59%;604;20,02%;732;24,26%;320;10,61%;4;0,13%;238;7,89%;51;1,69%;37;1,23%;78;2,59%;;;;;;
G50419;Sankt Martin am Tennengebirge;1197;39,60%;474;16;458;174;37,99%;128;27,95%;79;17,25%;41;8,95%;2;0,44%;20;4,37%;2;0,44%;3;0,66%;9;1,97%;;;;;;
G50420;Sankt Veit im Pongau;2857;41,02%;1172;55;1117;395;35,36%;248;22,20%;230;20,59%;99;8,86%;3;0,27%;57;5,10%;28;2,51%;14;1,25%;43;3,85%;;;;;;
G50421;Schwarzach im Pongau;2608;38,73%;1010;34;976;145;14,86%;489;50,10%;170;17,42%;73;7,48%;1;0,10%;54;5,53%;5;0,51%;11;1,13%;28;2,87%;;;;;;
G50422;Untertauern;334;26,95%;90;0;90;34;37,78%;16;17,78%;27;30,00%;5;5,56%;0;0,00%;5;5,56%;3;3,33%;0;0,00%;0;0,00%;;;;;;
G50423;Wagrain;2279;35,63%;812;21;791;335;42,35%;144;18,20%;192;24,27%;59;7,46%;0;0,00%;34;4,30%;9;1,14%;6;0,76%;12;1,52%;;;;;;
G50424;Werfen;2271;32,10%;729;27;702;203;28,92%;200;28,49%;162;23,08%;54;7,69%;2;0,28%;32;4,56%;17;2,42%;10;1,42%;22;3,13%;;;;;;
G50425;Werfenweng;694;37,61%;261;8;253;111;43,87%;12;4,74%;76;30,04%;15;5,93%;1;0,40%;19;7,51%;8;3,16%;3;1,19%;8;3,16%;;;;;;
G50499;Wahlkarten - Sankt Johann im Pongau;0;;2990;38;2952;921;31,20%;740;25,07%;438;14,84%;366;12,40%;17;0,58%;293;9,93%;28;0,95%;34;1,15%;115;3,90%;;;;;;
G50500;Tamsweg;16315;39,57%;6456;186;6270;2510;40,03%;1204;19,20%;1460;23,29%;449;7,16%;22;0,35%;287;4,58%;106;1,69%;47;0,75%;185;2,95%;;;;;;
G50501;Göriach;294;42,52%;125;3;122;71;58,20%;22;18,03%;21;17,21%;3;2,46%;0;0,00%;1;0,82%;0;0,00%;0;0,00%;4;3,28%;;;;;;
G50502;Lessach;450;33,56%;151;5;146;76;52,05%;21;14,38%;33;22,60%;6;4,11%;1;0,68%;3;2,05%;3;2,05%;1;0,68%;2;1,37%;;;;;;
G50503;Mariapfarr;1888;27,97%;528;16;512;193;37,70%;99;19,34%;125;24,41%;42;8,20%;4;0,78%;28;5,47%;7;1,37%;7;1,37%;7;1,37%;;;;;;
G50504;Mauterndorf;1326;38,01%;504;15;489;199;40,70%;76;15,54%;137;28,02%;21;4,29%;3;0,61%;36;7,36%;5;1,02%;3;0,61%;9;1,84%;;;;;;
G50505;Muhr;444;40,32%;179;1;178;73;41,01%;37;20,79%;60;33,71%;3;1,69%;0;0,00%;0;0,00%;0;0,00%;1;0,56%;4;2,25%;;;;;;
G50506;Ramingstein;951;32,28%;307;10;297;98;33,00%;88;29,63%;74;24,92%;14;4,71%;0;0,00%;8;2,69%;5;1,68%;1;0,34%;9;3,03%;;;;;;
G50507;Sankt Andrä im Lungau;608;27,63%;168;2;166;85;51,20%;35;21,08%;29;17,47%;11;6,63%;0;0,00%;2;1,20%;0;0,00%;0;0,00%;4;2,41%;;;;;;
G50508;Sankt Margarethen im Lungau;584;45,55%;266;6;260;95;36,54%;79;30,38%;53;20,38%;19;7,31%;1;0,38%;9;3,46%;0;0,00%;1;0,38%;3;1,15%;;;;;;
G50509;Sankt Michael im Lungau;2746;37,25%;1023;39;984;347;35,26%;239;24,29%;222;22,56%;56;5,69%;4;0,41%;45;4,57%;11;1,12%;8;0,81%;52;5,28%;;;;;;
G50510;Tamsweg;4566;27,42%;1252;37;1215;475;39,09%;202;16,63%;289;23,79%;111;9,14%;4;0,33%;47;3,87%;41;3,37%;13;1,07%;33;2,72%;;;;;;
G50511;Thomatal;280;38,93%;109;2;107;27;25,23%;18;16,82%;43;40,19%;9;8,41%;0;0,00%;5;4,67%;1;0,93%;0;0,00%;4;3,74%;;;;;;
G50512;Tweng;192;23,96%;46;1;45;23;51,11%;6;13,33%;8;17,78%;1;2,22%;0;0,00%;5;11,11%;2;4,44%;0;0,00%;0;0,00%;;;;;;
G50513;Unternberg;778;38,95%;303;15;288;114;39,58%;51;17,71%;64;22,22%;18;6,25%;2;0,69%;18;6,25%;12;4,17%;0;0,00%;9;3,13%;;;;;;
G50514;Weißpriach;255;48,63%;124;3;121;53;43,80%;20;16,53%;39;32,23%;4;3,31%;0;0,00%;4;3,31%;1;0,83%;0;0,00%;0;0,00%;;;;;;
G50515;Zederhaus;953;33,79%;322;10;312;166;53,21%;24;7,69%;82;26,28%;12;3,85%;1;0,32%;6;1,92%;5;1,60%;2;0,64%;14;4,49%;;;;;;
G50599;Wahlkarten - Tamsweg;0;;1049;21;1028;415;40,37%;187;18,19%;181;17,61%;119;11,58%;2;0,19%;70;6,81%;13;1,26%;10;0,97%;31;3,02%;;;;;;
G50600;Zell am See;64645;37,92%;24513;698;23815;8044;33,78%;5890;24,73%;4789;20,11%;2284;9,59%;81;0,34%;1485;6,24%;274;1,15%;243;1,02%;725;3,04%;;;;;;
G50601;Bramberg am Wildkogel;3194;29,68%;948;29;919;374;40,70%;236;25,68%;149;16,21%;65;7,07%;1;0,11%;45;4,90%;17;1,85%;4;0,44%;28;3,05%;;;;;;
G50602;Bruck an der Großglocknerstraße;3410;30,23%;1031;29;1002;271;27,05%;281;28,04%;248;24,75%;86;8,58%;11;1,10%;52;5,19%;15;1,50%;11;1,10%;27;2,69%;;;;;;
G50603;Dienten am Hochkönig;628;35,99%;226;11;215;108;50,23%;70;32,56%;16;7,44%;4;1,86%;0;0,00%;11;5,12%;2;0,93%;0;0,00%;4;1,86%;;;;;;
G50604;Fusch an der Großglocknerstraße;534;36,14%;193;4;189;93;49,21%;29;15,34%;38;20,11%;14;7,41%;5;2,65%;5;2,65%;1;0,53%;2;1,06%;2;1,06%;;;;;;
G50605;Hollersbach im Pinzgau;875;39,89%;349;2;347;172;49,57%;80;23,05%;57;16,43%;18;5,19%;1;0,29%;9;2,59%;7;2,02%;2;0,58%;1;0,29%;;;;;;
G50606;Kaprun;2199;36,83%;810;34;776;204;26,29%;277;35,70%;137;17,65%;96;12,37%;0;0,00%;33;4,25%;6;0,77%;5;0,64%;18;2,32%;;;;;;
G50607;Krimml;654;41,28%;270;7;263;104;39,54%;74;28,14%;41;15,59%;8;3,04%;0;0,00%;7;2,66%;9;3,42%;2;0,76%;18;6,84%;;;;;;
